Location,Indicator,Indicator units,Age,Year,Mean estimate,Sex,Scenario type
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2003,21,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2004,18,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2005,22,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2006,18,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2007,19,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2008,20,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2009,20,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2010,21,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2011,22,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2012,17,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2013,16,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2014,16,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2015,15,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2016,16,All sexes,Reference
Albania,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2017,15,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,1990,40.9900584298471,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,1991,39.2787805116188,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,1992,37.7903885660211,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,1993,36.4528817106245,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,1994,35.1795573758203,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,1995,33.915051689976,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,1996,32.6202130413302,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,1997,31.28157458909,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,1998,29.9496283713641,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,1999,28.5830577917194,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2000,27.2051606787787,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2001,25.7998450210762,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2002,24.365321708908,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2003,22.918414408657,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2004,21.4330657990351,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2005,19.9642258621572,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2006,18.5174092572126,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2007,17.1107186202457,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2008,15.7519889269322,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2009,14.4549834330071,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2010,13.2473232323703,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2011,12.1388399997592,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2012,11.1848757130946,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2013,10.4304843059968,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2014,9.89639662833665,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2015,9.56525085167728,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2016,9.419109625121,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2017,9.41805153241235,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2018,9.52513325792971,All sexes,Reference
Albania,"Mortality rate, under-5","per 1,000 live births",0-5 years,2019,9.68240657748287,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1990,12.6025192207559,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1991,12.3813241003283,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1992,12.3243391384571,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1993,12.3215979946887,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1994,12.3903204793143,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1995,12.4776205617498,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1996,12.5853493225452,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1997,12.6500242908857,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1998,12.6546680798145,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1999,12.5215370432033,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2000,12.1927100799287,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2001,11.823836200393,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2002,11.4488062036822,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2003,11.1304009252197,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2004,10.8971531965135,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2005,10.5589287572677,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2006,9.96582867826782,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2007,9.17109532814854,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2008,8.26527515714602,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2009,7.37319068578781,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2010,6.66147255733258,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2011,6.22646633066223,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2012,6.00692247428246,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2013,5.90965167086822,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2014,5.90197514460604,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2015,6.0322136436524,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2016,6.33024715383298,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2017,6.73607010224798,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2018,7.15617133872565,All sexes,Reference
Albania,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2019,7.52080674922541,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,1990,94,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,1991,78,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,1992,94,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,1993,96,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,1994,99,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,1995,97,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,1996,98,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,1997,99,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,1998,96,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,1999,97,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2000,97,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2001,97,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2002,98,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2003,97,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2004,97,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2005,98,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2006,97,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2007,98,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2008,99,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2009,98,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2010,99,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2011,99,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2012,99,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2013,99,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2014,98,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2015,99,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2016,98,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2017,99,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2018,99,All sexes,Reference
Albania,"Immunization, DPT",% of children,12-23 months,2019,99,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,1994,99,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,1995,88,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,1996,96,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,1997,97,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,1998,94,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,1999,96,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2000,96,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2001,96,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2002,96,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2003,97,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2004,99,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2005,98,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2006,98,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2007,98,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2008,99,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2009,98,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2010,99,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2011,99,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2012,99,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2013,99,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2014,98,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2015,99,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2016,98,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2017,99,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2018,99,All sexes,Reference
Albania,"Immunization, HepB3",% of one-year-old children,12-23 months,2019,99,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2000,89.48867,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2001,90.030952,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2002,90.605515,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2003,91.165459,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2004,91.710655,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2005,92.322975,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2006,92.92141,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2007,93.505745,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2008,94.075813,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2009,94.631157,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2010,95.172157,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2011,95.698494,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2012,96.210274,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2013,96.706558,All sexes,Reference
Albania,People using at least basic sanitation services,% of population,all,2014,97.188019,All sexes,Reference
