Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central Europe and the Baltics,CEB,"Mortality rate, under-5, male (per 1,000 live births)",21.53173418,20.87638878,20.28042288,19.58707214,18.80412614,17.92821477,17.06404748,16.18021846,15.21049188,14.26862952,13.4358206,12.79887706,12.36865583,11.96058455,11.44374466,10.87240381,10.2373598,9.579267871,8.957264274,8.460277465,8.036570653,7.659276019,7.27884347,6.955661508,6.607036192,6.284677073,5.968576711,5.744020061,5.49847403,5.249225784,
Central Europe and the Baltics,CEB,People using at least basic sanitation services (% of population),,,,,,,,,,,91.47740207,88.3415748,88.65363223,88.94174845,89.22741681,89.51875311,89.96253632,90.43265375,90.90736927,91.35776219,91.79510406,92.23156074,92.65783791,93.07979438,93.50291388,93.93556286,94.37333966,94.71079451,,,
Central Europe and the Baltics,CEB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Smoking prevalence, females (% of adults)",,,,,,,,,,,31.94480023,,,,,29.37000311,,,,,27.20875138,26.7752468,26.43253078,26.07923862,25.6656487,25.34639206,25.09304193,,,,
Central Europe and the Baltics,CEB,"Smoking prevalence, males (% of adults)",,,,,,,,,,,47.78827617,,,,,43.56332059,,,,,39.83565025,39.28017121,38.58746883,38.0227586,37.34635443,36.80982822,36.18988549,,,,
Central Europe and the Baltics,CEB,"Smoking prevalence, total (ages 15+)",,,,,,,,,,,39.51142452,,,,,36.15559708,,,,,33.22302182,32.74942511,32.2313639,31.77217315,31.24361852,30.80367879,30.39404394,,,,
Central Europe and the Baltics,CEB,UHC service coverage index,,,,,,,,,,,,,,,,,,,,,,,,,,72.36627998,,74.09241318,,,
East Asia & Pacific,EAS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),,,,,,,,,,,,,,,,,,,,,,59.85211182,,,71.99716187,,,73.69397736,,,
East Asia & Pacific,EAS,"Contraceptive prevalence, modern methods (% of women ages 15-49)",72.39924849,,,,,,,,,,74.48957273,,,,,,,,,,,,,,,,,69.77597723,,,
East Asia & Pacific,EAS,"Immunization, DPT (% of children ages 12-23 months)",90.45660943,88.5350433,85.30692193,83.42118777,81.80568599,78.95285704,81.84452061,81.56959359,81.9363933,82.74014423,83.49841134,84.34883206,82.73536836,84.48138962,85.34610794,85.41404448,88.99002,89.05844119,92.34557779,93.72642186,93.37906268,94.06826985,95.09825013,93.769217,93.63297899,92.62324738,94.42631505,93.54149404,92.06200115,92.75388677,
East Asia & Pacific,EAS,"Immunization, HepB3 (% of one-year-old children)",,,,,,,,,,,59.3792873,65.33821539,68.59514775,69.94127728,74.58391377,78.60342577,85.50486465,87.28835411,91.24678937,93.97438084,93.28219026,92.66088106,94.12671843,93.73612609,93.55702531,92.5268442,94.31969092,93.35544119,91.8680516,92.76778648,
East Asia & Pacific,EAS,"Immunization, measles (% of children ages 12-23 months)",89.44370617,86.00280064,82.30965476,78.76013736,76.08665625,78.96346558,83.34150777,82.57489967,83.02484005,83.84046381,83.74814453,84.3451749,83.96255261,84.59997267,86.37528836,86.41394133,90.16813384,89.71876194,91.98376689,92.95946861,93.15250165,93.95423759,94.14298858,95.02309452,94.38734437,94.46363696,94.59375637,94.14109861,93.83558443,93.3176572,
East Asia & Pacific,EAS,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Incidence of malaria (per 1,000 population at risk)",,,,,,,,,,,7.288409938,6.82808795,6.225906604,6.292277156,6.323513508,6.518478761,5.799956199,5.293395284,5.371756251,5.781135835,6.563560739,5.26221876,5.918044095,4.538134044,4.119136127,2.952388308,3.139709786,3.510273794,2.883252518,,
East Asia & Pacific,EAS,"Incidence of tuberculosis (per 100,000 people)",,,,,,,,,,,176,174,171,169,166,163,160,157,155,153,149,147,146,143,140,138,136,135,133,,
East Asia & Pacific,EAS,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,114,111,108,105,104,100,97,94,93,89,86,83,80,78,75,73,71,69,,,
East Asia & Pacific,EAS,"Mortality rate, neonatal (per 1,000 live births)",27.5,27.2,26.6,26,25.2,24.4,23.5,22.6,21.7,20.8,19.9,19,18.1,17.1,16.1,15,14.1,13.2,12.4,11.7,11.1,10.5,10,9.5,9,8.6,8.2,7.8,7.5,7.2,
East Asia & Pacific,EAS,"Mortality rate, under-5 (per 1,000 live births)",56.7,55.6,54.2,52.5,50.8,49,47.2,45.4,43.5,41.5,39.4,37.3,35.1,33,31.9,29.1,27.4,25.8,25.1,23.1,21.9,20.7,19.7,18.7,17.8,17,16.2,15.5,14.9,14.3,
East Asia & Pacific,EAS,"Mortality rate, under-5, female (per 1,000 live births)",53.3,52.2,50.8,49.2,47.5,45.8,44.1,42.3,40.5,38.6,36.6,34.5,32.5,30.4,29.5,26.8,25.2,23.7,23.1,21.2,20,19,18,17.1,16.3,15.5,14.8,14.1,13.5,13,
East Asia & Pacific,EAS,"Mortality rate, under-5, male (per 1,000 live births)",60,58.8,57.3,55.7,53.9,52,50.2,48.3,46.3,44.3,42.1,39.9,37.6,35.3,34.1,31.2,29.4,27.7,26.9,24.8,23.6,22.4,21.3,20.2,19.3,18.4,17.6,16.8,16.1,15.5,
East Asia & Pacific,EAS,People using at least basic sanitation services (% of population),,,,,,,,,,,60.76044364,61.4483212,63.13631326,64.65599482,66.15116088,67.6220979,69.0671992,70.52274645,71.95708591,73.36520849,74.75001305,76.10059382,77.42652733,78.78752412,80.12996656,81.45192317,82.75348468,84.02578315,,,
East Asia & Pacific,EAS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),60.9,58.9,56.1,53.2,49.8,44.7,40.4,40.4,41.7,37.9,34.8,32.7,29.1,25.8,22.4,18.3,17.9,15.7,14.8,12.9,10.7,8.1,6.8,3.2,2.6,2.1,1.7,1.4,1.2,,
East Asia & Pacific,EAS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),85,83.7,81.6,79.4,76.3,73.2,70.2,69.4,69.3,66.6,63.6,61,56.6,53.2,49.7,44.5,42.8,39.1,37,34,29.9,25.8,22.9,16.9,14.5,12,10.3,8.7,7.2,,
East Asia & Pacific,EAS,"Smoking prevalence, females (% of adults)",,,,,,,,,,,5.189799052,,,,,4.350804288,,,,,3.728695448,3.584483576,3.531416238,3.396511265,3.280095618,3.220574167,3.113243582,,,,
East Asia & Pacific,EAS,"Smoking prevalence, males (% of adults)",,,,,,,,,,,55.53575169,,,,,52.97561926,,,,,50.97444707,50.30966715,50.25006589,49.8801734,49.58066597,49.24064458,48.98967898,,,,
East Asia & Pacific,EAS,"Smoking prevalence, total (ages 15+)",,,,,,,,,,,30.53318012,,,,,28.85212863,,,,,27.56706371,27.20027208,27.14210097,26.87961072,26.64520621,26.40691089,26.23297316,,,,
East Asia & Pacific,EAS,UHC service coverage index,,,,,,,,,,,,,,,,,,,,,,,,,,71.9820459,,74.96578863,,,
Europe & Central Asia,ECS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),,,,,,,,,,,,,,,,,,,,,,69.28952026,,,77.72668457,,,81.45619965,,,
Europe & Central Asia,ECS,"Contraceptive prevalence, modern methods (% of women ages 15-49)",,,,,,,,,,,,,,,,,,,,,58.32818316,,,,,,,,,,
Europe & Central Asia,ECS,"Immunization, DPT (% of children ages 12-23 months)",,,84.84646061,81.3104518,87.72786428,86.7096011,89.29279905,90.94893803,91.6691893,92.86326038,92.88414548,93.97225941,92.87371038,91.25826843,93.8992817,95.02574605,95.25621735,95.92905462,95.87586125,94.98656387,94.38769753,94.35137682,95.74427814,95.80992017,92.95817494,93.04718586,92.38980693,93.72809872,94.74893226,95.19320582,
Europe & Central Asia,ECS,"Immunization, HepB3 (% of one-year-old children)",,,,,,,,,,,,66.19605145,74.57123598,80.25656871,85.37358581,86.9145358,87.75605533,90.0271265,89.46938224,89.6104237,90.04522162,87.92677917,89.67860825,90.85616742,90.28060205,90.98404116,90.98683734,92.28390018,93.39456614,93.73919834,
Europe & Central Asia,ECS,"Immunization, measles (% of children ages 12-23 months)",,,81.37474851,83.23729176,82.69304883,83.92968622,86.12670746,88.05732474,88.05134819,89.44783514,90.74524364,91.69273879,90.91911647,90.36535387,91.42033617,93.02468053,94.4012691,94.71534667,94.76752535,93.65300822,93.35054061,94.13256451,94.72543231,95.00278662,93.54699989,93.80756649,93.27195342,95.10364379,95.17476947,95.50891058,
Europe & Central Asia,ECS,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Incidence of malaria (per 1,000 population at risk)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Incidence of tuberculosis (per 100,000 people)",,,,,,,,,,,52,51,51,52,50,49,48,47,46,45,43,41,38,37,35,33,32,30,28,,
Europe & Central Asia,ECS,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,27,26,25,24,23,22,21,20,19,18,17,16,15,15,14,14,13,13,,,
Europe & Central Asia,ECS,"Mortality rate, neonatal (per 1,000 live births)",14,13.8,13.5,13.3,13,12.6,12.1,11.7,11.2,10.7,10.3,9.8,9.4,8.9,8.5,8.1,7.7,7.3,6.9,6.6,6.3,6.1,5.9,5.7,5.4,5.1,4.9,4.7,4.5,4.4,
Europe & Central Asia,ECS,"Mortality rate, under-5 (per 1,000 live births)",30.7,30.1,29.6,29.1,28.3,27.4,26.4,25.2,23.9,22.7,21.4,20.1,18.9,17.7,16.7,15.7,14.8,14,13.2,12.6,12,11.5,11,10.6,10.1,9.7,9.2,8.8,8.4,8.1,
Europe & Central Asia,ECS,"Mortality rate, under-5, female (per 1,000 live births)",27.9,27.3,26.8,26.3,25.7,24.8,23.9,22.8,21.6,20.4,19.2,18.1,16.9,15.9,14.9,14,13.2,12.5,11.8,11.2,10.7,10.3,9.9,9.4,9,8.6,8.2,7.8,7.5,7.2,
Europe & Central Asia,ECS,"Mortality rate, under-5, male (per 1,000 live births)",33.4,32.8,32.2,31.6,30.9,29.9,28.8,27.5,26.2,24.8,23.4,22,20.7,19.5,18.3,17.3,16.3,15.4,14.6,13.9,13.3,12.7,12.2,11.7,11.2,10.6,10.2,9.7,9.3,8.9,
Europe & Central Asia,ECS,People using at least basic sanitation services (% of population),,,,,,,,,,,92.37985212,92.07244341,92.346695,92.61967232,92.90108073,93.19734089,93.86398219,94.1626327,94.45818114,94.74785418,95.03670566,95.3183859,95.60444221,95.88614406,96.15164466,96.35420199,96.49665222,96.62483589,,,
Europe & Central Asia,ECS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),3.1,3.7,4.7,5.2,6.8,6.7,7,5.9,5.8,7.7,7.3,6.6,5.7,5.8,4.8,4.7,4,3.3,2.7,2.5,2.4,2,1.9,1.6,1.8,1.5,1.3,1.3,1.1,,
Europe & Central Asia,ECS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),10.3,11.7,13.8,15.3,19,17.3,18.2,15.8,16.1,21.2,18.8,16.9,15,14.3,12.1,11.5,9.8,8.4,7.2,6.9,6.8,6.4,6.1,5.6,5.7,5.3,4.7,4.7,4.3,,
Europe & Central Asia,ECS,"Smoking prevalence, females (% of adults)",,,,,,,,,,,25.45496561,,,,,23.89830592,,,,,22.4773164,22.20531398,21.97919567,21.71383402,21.51404477,21.26820802,21.06514231,,,,
Europe & Central Asia,ECS,"Smoking prevalence, males (% of adults)",,,,,,,,,,,49.74100988,,,,,45.73259069,,,,,42.16320857,41.56491528,40.8894906,40.27292485,39.59301978,38.99359284,38.36562663,,,,
Europe & Central Asia,ECS,"Smoking prevalence, total (ages 15+)",,,,,,,,,,,36.99963945,,,,,34.28754486,,,,,31.83734063,31.42667108,30.98094704,30.53280015,30.11852819,29.69887657,29.29420774,,,,
Europe & Central Asia,ECS,UHC service coverage index,,,,,,,,,,,,,,,,,,,,,,,,,,75.49994721,,77.22120739,,,
European Union,EUU,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Contraceptive prevalence, modern methods (% of women ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Immunization, DPT (% of children ages 12-23 months)",88.71803363,91.20791089,91.80838143,87.81341429,90.87657866,91.87146175,93.16099399,93.86346915,94.02091294,95.68933881,93.84456837,95.31308754,95.57513673,96.75504234,96.36788421,96.34154739,96.98538327,96.92979502,96.94842759,96.60236324,96.92760173,96.59897743,96.97674196,96.51814398,96.13554895,95.35260159,95.05783546,94.50710077,94.54963069,94.72576862,
European Union,EUU,"Immunization, HepB3 (% of one-year-old children)",,,,,,,,,72.5015984,73.52908935,73.40692525,75.01848077,76.84571786,77.70010125,80.95406497,81.79966782,82.87111561,83.67006256,85.00872993,85.75318476,87.89906571,86.24893724,86.51932344,88.3823744,90.34675405,90.98257257,91.33538714,91.39515413,91.91027039,91.89467621,
European Union,EUU,"Immunization, measles (% of children ages 12-23 months)",79.60892677,79.36666599,80.21930788,83.20697623,83.99423852,85.04677241,86.64822441,87.00630535,86.67966564,88.46938047,89.12584303,90.25071897,91.19358259,92.18014376,92.63836093,92.7850455,93.64161185,94.22402784,94.24421556,94.1518856,94.01962469,94.13229044,94.61509884,94.23399929,93.91075172,93.43263398,93.45271575,94.07954932,94.18064703,94.35394786,
European Union,EUU,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Incidence of malaria (per 1,000 population at risk)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Incidence of tuberculosis (per 100,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,10,10,9,9,8,8,8,7,7,7,7,7,6,6,6,6,6,6,,,
European Union,EUU,"Mortality rate, neonatal (per 1,000 live births)",6.508678811,6.273994454,6.01613982,5.721508029,5.444970878,5.161542932,4.889273396,4.569902437,4.296850776,4.04633011,3.857218153,3.702107227,3.579262434,3.450005949,3.305666774,3.167238477,3.052562789,2.909381781,2.799069023,2.718931741,2.643123077,2.585187703,2.536490674,2.502419099,2.477280278,2.422599242,2.384320088,2.36212529,2.344560875,2.31745327,
European Union,EUU,"Mortality rate, under-5 (per 1,000 live births)",12.25254646,11.6782461,11.13881549,10.55260704,9.957003616,9.372981858,8.823997824,8.324797025,7.881855277,7.474958279,7.129409369,6.820368471,6.579599603,6.355204615,6.122916915,5.882458494,5.628990494,5.400065301,5.177369813,5.009895093,4.856056792,4.698424638,4.568614161,4.437652854,4.319821512,4.216267862,4.150522844,4.098146291,4.032324103,3.950281792,
European Union,EUU,"Mortality rate, under-5, female (per 1,000 live births)",10.77272495,10.29511937,9.833452368,9.362837567,8.829984158,8.349749336,7.884310436,7.463080136,7.056841005,6.682182866,6.377648109,6.123804997,5.930079804,5.707971815,5.511676028,5.261793895,5.066831133,4.86312779,4.667395479,4.488433465,4.361715817,4.244272445,4.141727585,4.008388057,3.924657917,3.822323717,3.773924813,3.677165015,3.637813767,3.570944253,
European Union,EUU,"Mortality rate, under-5, male (per 1,000 live births)",13.64622556,13.02387947,12.37901454,11.71364346,11.03403942,10.35091449,9.737497281,9.191141118,8.672485265,8.212877407,7.824110482,7.478537051,7.23798635,6.983629746,6.701452828,6.44941464,6.195487364,5.92695676,5.684752065,5.492391397,5.309751997,5.152591975,4.989617395,4.857731528,4.716565589,4.601676122,4.515387148,4.467066038,4.389152294,4.301837967,
European Union,EUU,People using at least basic sanitation services (% of population),,,,,,,,,,,97.06409428,95.84748837,95.97131965,96.07957598,96.18295035,96.2864188,96.74719792,96.88089712,97.01302514,97.13326822,97.25072249,97.35910693,97.4702345,97.57997751,97.69523669,97.80439656,97.9139851,97.99675959,,,
European Union,EUU,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Smoking prevalence, females (% of adults)",,,,,,,,,,,30.18089414,,,,,28.52166602,,,,,27.08323591,26.80928106,26.55986672,26.28014881,26.1067235,25.8439957,25.66278184,,,,
European Union,EUU,"Smoking prevalence, males (% of adults)",,,,,,,,,,,42.52599791,,,,,39.07274412,,,,,35.94172901,35.43952207,34.8471153,34.33696977,33.7247172,33.21643667,32.72950182,,,,
European Union,EUU,"Smoking prevalence, total (ages 15+)",,,,,,,,,,,36.14353289,,,,,33.6175362,,,,,31.36410377,30.9974541,30.5591676,30.15945573,29.77983972,29.4007806,29.06642047,,,,
European Union,EUU,UHC service coverage index,,,,,,,,,,,,,,,,,,,,,,,,,,78.76386371,,79.79984981,,,
Latin America & Caribbean,LCN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),,,,,,,,,,,,,,,,,,,,,,39.38288879,,,51.90228271,,,55.14375687,,,
Latin America & Caribbean,LCN,"Contraceptive prevalence, modern methods (% of women ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Immunization, DPT (% of children ages 12-23 months)",68.01122813,77.9235426,77.34983756,78.64820889,80.10343463,83.14840677,81.62939936,82.81350856,85.74753064,88.6019163,90.65471055,90.04098964,91.3354546,92.57222248,93.22767217,93.58934732,93.43732386,92.81856867,92.11891683,93.71191726,93.26997092,92.84953068,93.17997471,89.58061928,88.622357,89.95406592,89.40549543,85.77637578,86.07726427,80.60463083,
Latin America & Caribbean,LCN,"Immunization, HepB3 (% of one-year-old children)",,,,,,,,,,,84.24415556,87.13286052,86.29987004,89.7363129,92.48565907,94.47894698,93.53743659,92.73859687,91.94697106,94.28437465,92.49448795,93.29140659,93.99559798,89.02306174,88.74181613,88.81533967,89.26601206,81.0750058,80.72657868,77.08239055,
Latin America & Caribbean,LCN,"Immunization, measles (% of children ages 12-23 months)",75.95316302,80.59737182,82.72935302,82.12397586,82.49936577,86.2354313,84.10978673,88.65333156,90.88805825,92.1589274,93.54163933,94.73960719,93.52327693,93.96156172,93.21829033,92.85167813,94.34298171,93.87597802,95.11840627,94.11788564,93.44827352,94.50685432,95.21025454,91.63226542,92.73917191,92.98368343,92.35883081,86.69357838,91.22125262,86.4742284,
Latin America & Caribbean,LCN,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Incidence of malaria (per 1,000 population at risk)",,,,,,,,,,,14.24633045,11.79873798,10.57899182,10.18343268,9.908421798,10.89752318,9.217740438,8.157851423,5.673903023,5.471032608,6.444163263,4.778244118,4.483687927,4.284267583,3.599200721,4.22444481,5.106589744,6.910309392,6.735049137,,
Latin America & Caribbean,LCN,"Incidence of tuberculosis (per 100,000 people)",,,,,,,,,,,54,51,51,51,50,48,46,45,45,44,43,43,43,42,41,41,42,43,43,,
Latin America & Caribbean,LCN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,96,94,94,93,93,90,89,88,87,87,85,82,80,79,78,77,76,74,,,
Latin America & Caribbean,LCN,"Mortality rate, neonatal (per 1,000 live births)",22.5,21.8,21.1,20.5,19.8,19.1,18.4,17.8,17.1,16.6,16,15.3,14.7,14.1,13.5,13,12.5,12.1,11.7,11.4,11.2,10.8,10.6,10.3,10.1,10,9.9,9.5,9.3,9.1,
Latin America & Caribbean,LCN,"Mortality rate, under-5 (per 1,000 live births)",54.6,52.3,49.9,47.6,45.2,43,40.8,38.7,37.1,35.1,33.1,31.5,29.9,28.5,27.2,26,24.9,23.8,22.9,22,24.7,20.5,19.8,19.2,18.6,18.1,18.1,17.3,16.7,16.3,
Latin America & Caribbean,LCN,"Mortality rate, under-5, female (per 1,000 live births)",49.8,47.6,45.4,43.2,41,38.9,36.8,34.9,33.5,31.6,29.7,28.2,26.8,25.6,24.4,23.2,22.2,21.3,20.5,19.7,22.5,18.3,17.8,17.2,16.6,16.2,16.3,15.5,15,14.5,
Latin America & Caribbean,LCN,"Mortality rate, under-5, male (per 1,000 live births)",59.1,56.7,54.2,51.7,49.2,46.8,44.5,42.3,40.6,38.5,36.3,34.6,32.9,31.4,29.9,28.6,27.4,26.2,25.2,24.3,26.9,22.6,21.8,21.2,20.5,19.9,19.9,19,18.4,17.9,
Latin America & Caribbean,LCN,People using at least basic sanitation services (% of population),,,,,,,,,,,73.28079709,74.11543961,74.94014185,75.76090481,76.576643,78.11882134,78.91790843,79.72276545,80.52251023,81.31892822,82.09411337,82.869579,83.64147464,84.39886111,85.12025958,85.83364972,86.53735105,86.66868232,,,
Latin America & Caribbean,LCN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),15.2,14.3,14.4,14.2,13.1,12.6,13.9,13.7,13.4,13.7,12.8,12.6,12.1,11.6,10.4,10,8.1,7.5,7,6.7,6.2,5.7,4.7,4.3,4.1,3.8,3.9,3.9,3.8,,
Latin America & Caribbean,LCN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),29.5,28.4,28.4,28.5,26.8,26.6,27.8,27.2,26.4,27.2,25.4,25.3,25.2,24.4,22.6,21.5,18,16.8,15.8,15.3,14.2,13.1,12,11.3,10.9,10.5,10.5,9.5,9.3,,
Latin America & Caribbean,LCN,"Smoking prevalence, females (% of adults)",,,,,,,,,,,19.2056884,,,,,15.18341773,,,,,12.03172265,11.56006324,11.03774708,10.58952139,10.1314119,9.658017414,9.281041974,,,,
Latin America & Caribbean,LCN,"Smoking prevalence, males (% of adults)",,,,,,,,,,,34.2533771,,,,,29.09702461,,,,,24.86950555,24.13511981,23.33334639,22.7141448,22.04807575,21.37864701,20.78342032,,,,
Latin America & Caribbean,LCN,"Smoking prevalence, total (ages 15+)",,,,,,,,,,,25.78671174,,,,,21.30282575,,,,,17.68478688,17.11762229,16.47820881,15.93878356,15.37471194,14.82009053,14.34907467,,,,
Latin America & Caribbean,LCN,UHC service coverage index,,,,,,,,,,,,,,,,,,,,,,,,,,74.76213624,,75.44246544,,,
Middle East & North Africa,MEA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),,,,,,,,,,,,,,,,,,,,,,37.63048172,,,,,,47.53068542,,,
Middle East & North Africa,MEA,"Contraceptive prevalence, modern methods (% of women ages 15-49)",34.27589459,,,,,,,,,,49.61832173,,,,,,,,,,51.58338042,,,,,,,,,,
Middle East & North Africa,MEA,"Immunization, DPT (% of children ages 12-23 months)",87.84640982,81.6202796,84.52866729,85.37804288,83.2812884,86.28978986,87.20877613,86.32776202,88.93297741,90.06124736,91.15354721,91.14191629,89.63852877,89.08147784,90.07728335,89.51169589,89.84315615,89.72403917,90.95622566,92.11427327,91.72848953,91.18257541,87.87932967,89.52663531,88.96698684,87.9991281,89.18579692,90.30261913,89.63154287,90.39778633,
Middle East & North Africa,MEA,"Immunization, HepB3 (% of one-year-old children)",,,,,63.50507815,70.81801325,74.45175952,83.64507922,77.96467361,73.24129764,79.56635233,83.41504761,85.11167225,85.29573836,85.16578654,89.21163209,88.72609848,89.01910473,90.68738997,91.96147689,91.75397371,90.43383767,86.44969769,90.55766471,88.81839353,87.97704219,89.16421758,90.25436519,89.62084031,90.37807023,
